smd_id,lon,lat,smd,current_commissioner,number_of_candidates,list_of_candidates
smd_1A01,-77.03412972287954,38.93611303340671,1A01,Layla Bonnot,1,Layla Bonnot
smd_1A02,-77.03443069499727,38.93381287472092,1A02,Teresa A. Edmondson,1,Dieter Lehmann Morales
smd_1A03,-77.03450455712208,38.92757368318783,1A03,Zach Rybarczyk,1,Zach Rybarczyk
smd_1A04,-77.03122314576842,38.93401296303263,1A04,Matthew Goldschmidt,1,Chris Hall
smd_1A05,-77.03437454161045,38.93071628511695,1A05,Christine Miller,1,Christine Miller
smd_1A06,-77.02965105723172,38.93012215834535,1A06,Angelica Castañon,1,Judson Wood
smd_1A07,-77.0278763759389,38.93378167485273,1A07,(vacant),1,Mukta Ghorpadey
smd_1A08,-77.02281490254707,38.93496990138152,1A08,Kent C. Boese,1,Kent C. Boese
smd_1A09,-77.02345070046313,38.93190067712,1A09,Michael Wray,1,Michael Wray
smd_1A10,-77.02166226756961,38.929723457421076,1A10,Rashida Brown,1,Rashida Brown
smd_1A11,-77.02866324171401,38.92800890344182,1A11,Dotti Love Wade,1,Dotti Love Wade
smd_1A12,-77.03218347391251,38.926209196540974,1A12,Jason Clock,2,"Jason Clock, Jeremy Munro"
smd_1B01,-77.01861218673801,38.916735738956596,1B01,Anita Norman,1,Larry Handerhan
smd_1B02,-77.02583608170856,38.91688319962512,1B02,Dan Orlaskey,1,Dan Orlaskey
smd_1B03,-77.02621710649917,38.92355780235551,1B03,Sedrick Muhammad,1,Muhsin Boe Umar
smd_1B04,-77.03095520357589,38.919351565104044,1B04,Deborah Thomas,2,"Karen Gaal, Deborah Thomas"
smd_1B05,-77.03483518834828,38.92041768275895,1B05,(vacant),2,"Victoria Sanchez, Alan Kensek, Jr."
smd_1B06,-77.0336776277388,38.9221405022185,1B06,(vacant),1,Judy Floy
smd_1B07,-77.03461686211284,38.924469603931065,1B07,Marcia Shia,1,Max Ewart
smd_1B08,-77.03134464800138,38.92411114943674,1B08,Joshua Ryan Mater,2,"Eric Behna, Joshua Ryan Mater"
smd_1B09,-77.02465464073076,38.926444352069815,1B09,James A. Turner,1,James A. Turner
smd_1B10,-77.01720460403841,38.92460292221983,1B10,Danny Delaney,1,Danny Delaney
